NAMESPACE,NAME,PF,READY,RESTARTS,STATUS,CPU,MEM,CPU/R:L,MEM/R:L,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,QOS,LABELS,VALID,NOMINATED NODE,READINESS GATES,AGE
flux-system,image-automation-controller-bcf7f8755-fs25m,●,1/1,0,Running,2,17,100:1000,64:1024,2,0,27,1,10.42.0.160,pfwilsendh470c,BU,app=image-automation-controller pod-template-hash=bcf7f8755,,<none>,<none>,4h32m
external-dns,external-dns-7648c87485-r6bb2,●,1/1,5,Running,1,43,25:0,100:250,4,n/a,43,17,10.42.0.77,pfwilsendh470c,BU,app.kubernetes.io/instance=external-dns app.kubernetes.io/name=external-dns pod-template-hash=7648c87485,,<none>,<none>,3d20h
flux-system,notification-controller-66657df99-27szz,●,1/1,0,Running,2,17,100:1000,64:1024,2,0,26,1,10.42.0.163,pfwilsendh470c,BU,app=notification-controller pod-template-hash=66657df99,,<none>,<none>,4h32m
olm,packageserver-8667b58f6b-8q47c,●,1/1,5,Running,6,77,10:0,50:0,60,n/a,155,n/a,10.42.0.65,pfwilsendh470c,BU,app=packageserver pod-template-hash=8667b58f6b,,<none>,<none>,3d20h
olm,operatorhubio-catalog-gwkxb,●,1/1,5,Running,2,262,10:0,50:0,20,n/a,524,n/a,10.42.0.92,pfwilsendh470c,BU,catalogsource.operators.coreos.com/update= olm.catalogSource=operatorhubio-catalog,,<none>,<none>,3d18h
databases,database-repo-host-0,●,2/2,10,Running,2,3,0:0,0:0,n/a,n/a,n/a,n/a,10.42.0.89,pfwilsendh470c,BE,controller-revision-hash=database-repo-host-5b8fff9c7 postgres-operator.crunchydata.com/cluster=database postgres-operator.crunchydata.com/data=pgbackrest postgres-operator.crunchydata.com/pgbackrest= postgres-operator.crunchydata.com/pgbackrest-dedicated= statefulset.kubernetes.io/pod-name=database-repo-host-0,,<none>,<none>,3d16h
chirpstack,postgresql-0,●,1/1,0,Running,6,66,250:0,256:0,2,n/a,26,n/a,10.42.0.152,pfwilsendh470c,BU,app.kubernetes.io/component=primary app.kubernetes.io/instance=postgresql app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=postgresql controller-revision-hash=postgresql-7d55dfb858 helm.sh/chart=postgresql-11.6.16 statefulset.kubernetes.io/pod-name=postgresql-0,,<none>,<none>,5h15m
chirpstack,redis-replicas-1,●,2/2,0,Running,7,11,0:0,0:0,n/a,n/a,n/a,n/a,10.42.0.106,pfwilsendh470c,BE,app.kubernetes.io/component=replica app.kubernetes.io/instance=redis app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=redis controller-revision-hash=redis-replicas-7d7d9fd7bd helm.sh/chart=redis-17.0.1 statefulset.kubernetes.io/pod-name=redis-replicas-1,,<none>,<none>,7h34m
operators,pgo-656b855cb5-p6lsk,●,1/1,5,Running,1,42,0:0,0:0,n/a,n/a,n/a,n/a,10.42.0.75,pfwilsendh470c,BE,pod-template-hash=656b855cb5 postgres-operator.crunchydata.com/control-plane=postgres-operator,,<none>,<none>,3d17h
kube-system,local-path-provisioner-7b7dc8d6f5-ngl4l,●,1/1,6,Running,2,21,0:0,0:0,n/a,n/a,n/a,n/a,10.42.0.82,pfwilsendh470c,BE,app=local-path-provisioner pod-template-hash=7b7dc8d6f5,,<none>,<none>,3d21h
